Department,Link to Pay Plan,Last Update,Population (2023),County,Shift,Sign-on Bonus,"Entry
0-12 months","1 Year
12-24 months","2 Years
24-36 months","3 Years
36-48 months","4 Years
48-60 months","5 Years
60-72 months","6 Years
72-84 months","7 Years
84-96 months","8 Years
96-108 months","9 Years
108-120 months","10 Years
120-132 months","11 Years
132-144 months","12 Years
144-156 months","13 Years
156-168 months","14 Years
168-180 months","15 Years
180-192 months","16 Years
192-204 months","17 Years
204-216 months","18 Years
216-228 months","19 Years
228-240 months","20 Years
240+ months",5 Year Total,10 Year Total,15 Year Total,20 Year Total,Department,Coordinates
Addison FD,Pay Plan,08-04-2025,"17,100",Dallas,48/96,,"$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$76,208.01","$457,248.06","$838,288.11","$1,219,328.16","$1,600,368.21",Addison FD,"32.965767075348246, -96.83025869503638"
Allen FD,Pay Plan,10-23-2025,"111,620",Collin,24/48,,"$97,528.75","$101,592.45","$105,825.47","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$110,058.49","$635,122.14","$1,185,414.59","$1,735,707.04","$2,285,999.49",Allen FD,"33.099272858872965, -96.67505703919858"
Anna FD,Pay Plan,10-23-2025,"27,501",Collin,,,"$63,860.00","$72,100.00","$74,263.00","$76,490.89","$78,785.62","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$81,149.19","$446,648.70","$852,394.65","$1,258,140.60","$1,663,886.55",Anna FD,"33.347772193532485, -96.55073807006593"
Arlington FD,Pay Plan,10-04-2025,"398,431",Tarrant,24/48,,"$78,990.46","$82,941.52","$87,094.85","$91,451.04","$96,031.48","$100,859.92","$100,859.92","$100,859.92","$100,859.92","$100,859.92","$100,859.92","$100,859.92","$100,859.92","$100,859.92","$100,859.92","$103,374.15","$103,374.15","$103,374.15","$103,374.15","$103,374.15","$105,958.50","$537,369.27","$1,041,668.87","$1,548,482.70","$2,067,937.80",Arlington FD,"32.73830654807124, -97.1135962773361"
Aubrey FD,Pay Plan,10-24-2025,"8,843",Denton,,,"$75,997.68","$78,664.13","$80,629.27","$82,653.07","$84,706.20","$86,817.98","$88,988.43","$91,217.54","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$93,505.32","$489,468.33","$950,190.26","$1,417,716.86","$1,885,243.46",Aubrey FD,"33.30334626947917, -96.98567108581287"
Carrollton FD,Pay Plan,09-20-2025,"132,918",Dallas,48/96,,"$79,571.08","$87,103.89","$91,458.95","$96,031.60","$98,912.10","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$101,879.55","$554,957.17","$1,064,354.92","$1,573,752.67","$2,083,150.42",Carrollton FD,"32.953359323098894, -96.90890204623463"
Cleburne FD,Pay Plan,12-03-2025,"32,966",Johnson,48/96,,"$71,377.13","$74,279.62","$77,643.75","$78,877.26","$82,778.61","$85,476.41","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$87,475.70","$470,432.78","$907,811.28","$1,345,189.78","$1,782,568.28",Cleburne FD,"32.348240756655265, -97.38763636741902"
Colleyville FD,Pay Plan,10-24-2025,"26,012",Tarrant,,,"$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$78,432.00","$470,592.00","$862,752.00","$1,254,912.00","$1,647,072.00",Colleyville FD,"32.885455471032905, -97.15158542066983"
Coppell FD,Pay Plan,10-23-2025,"41,404",Dallas,48/96,,"$84,975.00","$88,374.00","$91,908.96","$95,585.03","$99,408.39","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$103,385.20","$563,636.58","$1,080,562.58","$1,597,488.58","$2,114,414.58",Coppell FD,"32.949178531532816, -97.00666270918607"
Crowley FD,Pay Plan,08-04-2025,"19,932",Tarrant,48/96,,"$72,678.80","$74,868.80","$77,117.20","$79,424.00","$81,818.40","$8,427.00","$86,811.60","$89,410.40","$92,096.80","$94,870.80","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$97,703.20","$394,334.20","$855,227.00","$1,343,743.00","$1,832,259.00",Crowley FD,"32.579101208995205, -97.35708230973714"
